,Area,BHK,Bathroom,Locality,Price,Per_Sqft
0,1400.0,3,2.0,Alaknanda,19000000,12500.0
1,1100.0,2,2.0,Alaknanda,15000000,12500.0
2,1200.0,2,2.0,Alaknanda,17500000,12500.0
3,1400.0,2,2.0,Alaknanda,14000000,12500.0
4,1320.0,3,2.0,Alaknanda,15600000,12500.0
5,1440.0,3,3.0,Alaknanda,19000000,12500.0
6,450.0,1,1.0,Alaknanda,3000000,12500.0
7,1400.0,3,2.0,Alaknanda,19000000,12500.0
8,1100.0,2,2.0,Alaknanda,15000000,12500.0
9,1200.0,2,2.0,Alaknanda,17500000,12500.0
10,1400.0,2,2.0,Alaknanda,14000000,12500.0
11,1320.0,3,2.0,Alaknanda,15600000,12500.0
12,1440.0,3,3.0,Alaknanda,19000000,12500.0
13,450.0,1,1.0,Alaknanda,3000000,12500.0
14,1200.0,3,3.0,Chittaranjan Park,22000000,18333.0
15,1450.0,3,3.0,Chittaranjan Park,22500000,18333.0
16,1000.0,2,2.0,Chittaranjan Park,7500000,18333.0
17,1200.0,3,2.0,Chittaranjan Park,15500000,12916.0
18,1200.0,3,3.0,Chittaranjan Park,16500000,12916.0
20,1050.0,3,2.0,Chittaranjan Park,12500000,12916.0
21,875.0,3,3.0,Chittaranjan Park,17500000,12916.0
22,11050.0,3,3.0,Chittaranjan Park,18500000,12916.0
23,3405.0,5,5.0,"Common Wealth Games Village, Commonwealth Games Village 2010",70000000,20558.0
24,2105.0,3,3.0,"Common Wealth Games Village, Commonwealth Games Village 2010",42100000,20558.0
25,2090.0,3,4.0,"Common Wealth Games Village, Commonwealth Games Village 2010",44000000,21052.0
26,1850.0,3,3.0,"Common Wealth Games Village, Commonwealth Games Village 2010",37500000,20270.0
27,2065.0,3,4.0,"Common Wealth Games Village, Commonwealth Games Village 2010",42500000,20581.0
28,3405.0,5,4.0,"Common Wealth Games Village, Commonwealth Games Village 2010",71500000,20999.0
29,3050.0,5,5.0,"Common Wealth Games Village, Commonwealth Games Village 2010",65000000,21311.0
30,2300.0,5,6.0,"Common Wealth Games Village, Commonwealth Games Village 2010",58000000,21311.0
31,3100.0,5,5.0,"Common Wealth Games Village, Commonwealth Games Village 2010",65000000,20967.0
32,1400.0,2,3.0,"Common Wealth Games Village, Commonwealth Games Village 2010",28600000,20967.0
33,2126.0,3,3.0,"Common Wealth Games Village, Commonwealth Games Village 2010",39000000,18344.0
34,1646.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",20000000,12151.0
35,1250.0,3,2.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",16000000,12151.0
36,1590.0,3,2.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",25000000,8889.0
38,1260.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",25000000,8889.0
39,1450.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",15000000,8889.0
40,1753.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",19000000,10838.0
41,1470.0,3,2.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",14200000,10838.0
42,900.0,2,2.0,"Dilshad Colony, Dilshad Garden",6900000,7666.0
43,400.0,1,1.0,"Dilshad Colony, Dilshad Garden",3600000,7666.0
44,900.0,3,2.0,"Dilshad Colony, Dilshad Garden",13500000,7666.0
45,405.0,1,1.0,"Dilshad Colony, Dilshad Garden",2500000,9200.0
46,1076.39,3,2.0,"Dilshad Colony, Dilshad Garden",9300000,8640.0
47,460.0,2,1.0,"Dilshad Colony, Dilshad Garden",3300000,8640.0
48,1800.0,3,3.0,"Dilshad Colony, Dilshad Garden",15000000,8333.0
49,800.0,2,2.0,"Dilshad Colony, Dilshad Garden",7500000,9375.0
50,800.0,2,2.0,"Dilshad Colony, Dilshad Garden",6000000,7500.0
51,1000.0,2,2.0,"Dilshad Colony, Dilshad Garden",6700000,6700.0
52,750.0,2,2.0,"J R Designers Floors, Rohini Sector 24",5000000,6667.0
53,750.0,2,2.0,"J R Designers Floors, Rohini Sector 24",5000000,6667.0
54,720.0,2,2.0,"J R Designers Floors, Rohini Sector 24",4700000,6528.0
55,800.0,2,2.0,"J R Designers Floors, Rohini Sector 24",5500000,6875.0
56,980.0,3,2.0,"J R Designers Floors, Rohini Sector 24",7300000,7449.0
57,680.0,2,2.0,"J R Designers Floors, Rohini Sector 24",4400000,6471.0
58,630.0,2,2.0,"J R Designers Floors, Rohini Sector 24",4100000,6508.0
59,550.0,2,2.0,"J R Designers Floors, Rohini Sector 24",3500000,6364.0
60,2800.0,5,4.0,"J R Designers Floors, Rohini Sector 24",17500000,6250.0
61,300.0,1,1.0,"J R Designers Floors, Rohini Sector 24",1900000,6333.0
62,800.0,3,2.0,"J R Designers Floors, Rohini Sector 24",5500000,6875.0
63,1295.0,3,2.0,"J R Designers Floors, Rohini Sector 24",10000000,6875.0
64,700.0,3,2.0,"J R Designers Floors, Rohini Sector 24",4700000,6714.0
65,350.0,1,1.0,"J R Designers Floors, Rohini Sector 24",2400000,6714.0
66,450.0,2,2.0,"J R Designers Floors, Rohini Sector 24",3800000,6714.0
69,1150.0,3,2.0,"J R Designers Floors, Rohini Sector 24",10000000,6714.0
70,800.0,3,2.0,"J R Designers Floors, Rohini Sector 24",5500000,6714.0
71,850.0,3,2.0,"J R Designers Floors, Rohini Sector 24",7000000,6714.0
72,720.0,3,2.0,"J R Designers Floors, Rohini Sector 24",6500000,6714.0
73,750.0,2,2.0,"J R Designers Floors, Rohini Sector 24",5000000,6667.0
74,750.0,2,2.0,"J R Designers Floors, Rohini Sector 24",5000000,6667.0
75,3500.0,5,5.0,"Kailash Colony, Greater Kailash",70000000,20000.0
79,1440.0,3,3.0,"Kailash Colony, Greater Kailash",26000000,20000.0
81,900.0,2,2.0,"Kailash Colony, Greater Kailash",20000000,11111.0
82,3690.0,4,5.0,"Kailash Colony, Greater Kailash",79000000,21409.0
83,1200.0,3,2.0,"Kailash Colony, Greater Kailash",17000000,21409.0
85,1350.0,3,3.0,"Kailash Colony, Greater Kailash",26000000,19259.0
86,1200.0,3,3.0,"Kailash Colony, Greater Kailash",25000000,20833.0
87,2177.0,4,5.0,"Kailash Colony, Greater Kailash",51000000,20833.0
88,1500.0,3,3.0,"Kailash Colony, Greater Kailash",40000000,20833.0
89,1600.0,3,3.0,"Kailash Colony, Greater Kailash",22500000,20833.0
90,4500.0,4,4.0,"Kailash Colony, Greater Kailash",70000000,20833.0
91,2150.0,4,4.0,"Kailash Colony, Greater Kailash",45000000,20930.0
92,2107.0,4,4.0,"Kailash Colony, Greater Kailash",51100000,20930.0
93,1150.0,3,3.0,"Kailash Colony, Greater Kailash",25500000,20930.0
94,1240.0,3,3.0,"Kailash Colony, Greater Kailash",26500000,20930.0
95,1000.0,2,2.0,"Kailash Colony, Greater Kailash",15000000,20930.0
96,4500.0,4,4.0,"Kailash Colony, Greater Kailash",55000000,20930.0
97,1150.0,3,3.0,"Kailash Colony, Greater Kailash",26000000,20930.0
98,2000.0,4,4.0,"Kailash Colony, Greater Kailash",38000000,20930.0
99,4500.0,4,5.0,"Kailash Colony, Greater Kailash",72500000,20930.0
100,3000.0,4,5.0,"Kailash Colony, Greater Kailash",65000000,20930.0
101,1350.0,2,2.0,Lajpat Nagar 2,12500000,9259.0
102,1500.0,3,3.0,Lajpat Nagar 2,26000000,9259.0
103,850.0,2,2.0,Lajpat Nagar 2,14600000,9259.0
104,1575.0,3,3.0,Lajpat Nagar 2,25500000,9259.0
105,900.0,2,2.0,Lajpat Nagar 2,12500000,7000.0
106,800.0,2,2.0,Lajpat Nagar 2,14500000,7000.0
107,1100.0,2,3.0,Lajpat Nagar 2,22500000,7000.0
108,810.0,2,2.0,Lajpat Nagar 2,15500000,7000.0
110,900.0,2,2.0,Lajpat Nagar 2,15800000,7000.0
111,825.0,2,2.0,Lajpat Nagar 2,15000000,7000.0
112,900.0,2,2.0,Lajpat Nagar 2,13000000,7000.0
113,875.0,2,2.0,Lajpat Nagar 2,15000000,7000.0
115,750.0,2,2.0,Lajpat Nagar 2,16500000,7000.0
116,900.0,2,2.0,Lajpat Nagar 2,10300000,7000.0
118,900.0,2,2.0,Lajpat Nagar 2,11000000,7000.0
120,900.0,2,2.0,Lajpat Nagar 2,11000000,7000.0
121,2925.0,4,4.0,Lajpat Nagar 3,57500000,22000.0
122,1600.0,3,3.0,Lajpat Nagar 3,30000000,22000.0
123,1500.0,3,3.0,Lajpat Nagar 3,31500000,22000.0
124,1500.0,3,3.0,Lajpat Nagar 3,40000000,26666.0
126,1000.0,2,2.0,Lajpat Nagar 3,20000000,20000.0
127,1000.0,2,2.0,Lajpat Nagar 3,20000000,20000.0
128,1700.0,3,3.0,Lajpat Nagar 3,19000000,20000.0
129,1600.0,3,3.0,Lajpat Nagar 3,26000000,20000.0
130,1350.0,3,3.0,Lajpat Nagar 3,21000000,15556.0
131,1700.0,3,3.0,Lajpat Nagar 3,27500000,16176.0
132,1400.0,3,3.0,Lajpat Nagar 3,32500000,16176.0
133,1450.0,3,3.0,Lajpat Nagar 3,45000000,16176.0
134,1350.0,3,3.0,Lajpat Nagar 3,21000000,15556.0
135,1700.0,3,3.0,Lajpat Nagar 3,28000000,15556.0
136,1600.0,3,3.0,Lajpat Nagar 3,29500000,15556.0
138,420.0,2,1.0,Laxmi Nagar,2600000,4040.0
139,450.0,2,1.0,Laxmi Nagar,3500000,7778.0
140,1000.0,2,2.0,Laxmi Nagar,7500000,7778.0
141,900.0,3,2.0,Laxmi Nagar,7000000,7778.0
142,800.0,3,2.0,Laxmi Nagar,4500000,7778.0
143,720.0,3,3.0,Laxmi Nagar,5500000,7778.0
144,450.0,2,1.0,Laxmi Nagar,2700000,7778.0
145,715.0,2,2.0,Laxmi Nagar,5600000,5666.0
146,600.0,2,2.0,Laxmi Nagar,7000000,11667.0
147,540.0,2,1.0,Laxmi Nagar,3500000,11667.0
148,810.0,3,2.0,Laxmi Nagar,9000000,11111.0
149,900.0,3,2.0,Laxmi Nagar,6000000,11111.0
150,1000.0,3,2.0,Laxmi Nagar,6000000,11111.0
151,1000.0,2,2.0,Laxmi Nagar,7500000,6667.0
153,450.0,2,1.0,Laxmi Nagar,3500000,7778.0
154,1000.0,2,2.0,Laxmi Nagar,5000000,5000.0
155,850.0,2,2.0,Malviya Nagar,8500000,14888.0
156,750.0,2,2.0,Malviya Nagar,11500000,14888.0
157,800.0,2,2.0,Malviya Nagar,12000000,14888.0
158,550.0,2,2.0,Malviya Nagar,10700000,14888.0
159,700.0,2,2.0,Malviya Nagar,9000000,14888.0
160,100.0,3,2.0,Malviya Nagar,17000000,14888.0
161,1500.0,2,2.0,Malviya Nagar,13000000,14888.0
162,2000.0,4,4.0,Malviya Nagar,36000000,14888.0
163,500.0,1,1.0,Malviya Nagar,2300000,14888.0
166,800.0,3,3.0,Mehrauli,4500000,3294.0
167,405.0,1,1.0,Mehrauli,1800000,3294.0
168,1350.0,3,3.0,Mehrauli,8500000,3294.0
169,1350.0,3,3.0,Mehrauli,8500000,3294.0
170,450.0,1,1.0,Mehrauli,1700000,3294.0
171,1050.0,3,2.0,Mehrauli,5600000,3294.0
172,855.0,2,2.0,Mehrauli,4000000,4678.0
173,540.0,1,1.0,Mehrauli,1700000,3148.0
174,1044.0983,3,2.0,Mehrauli,6000000,3148.0
175,405.0,1,1.0,Mehrauli,1600000,3148.0
176,500.0,1,2.0,Mehrauli,2100000,4200.0
177,450.0,1,1.0,Mehrauli,1700000,3778.0
178,405.0,1,1.0,Mehrauli,1200000,2963.0
179,173.0,2,2.0,Mehrauli,3500000,3667.0
180,600.0,2,2.0,Mehrauli,3200000,5333.0
181,1600.0,3,3.0,New Friends Colony,40000000,15459.0
182,3500.0,4,4.0,New Friends Colony,90000000,15459.0
183,2100.0,4,5.0,New Friends Colony,56000000,15459.0
184,1500.0,3,3.0,New Friends Colony,60000000,15459.0
185,3500.0,4,5.0,New Friends Colony,58000000,15459.0
186,2000.0,4,4.0,New Friends Colony,70000000,15459.0
187,2550.0,4,4.0,New Friends Colony,60000000,23529.0
188,4500.0,4,4.0,New Friends Colony,70000000,23529.0
189,1400.0,3,3.0,New Friends Colony,50000000,23529.0
190,2800.0,4,5.0,New Friends Colony,75000000,23529.0
191,4500.0,4,4.0,New Friends Colony,55000000,23529.0
193,900.0,3,2.0,Patel Nagar West,10400000,11556.0
194,270.0,1,1.0,Patel Nagar West,1700000,11556.0
195,950.0,2,2.0,Patel Nagar West,8000000,8421.0
196,1500.0,3,3.0,Patel Nagar West,19500000,8421.0
197,1800.0,3,3.0,Patel Nagar West,21100000,11722.0
198,900.0,3,2.0,Patel Nagar West,12000000,13333.0
199,1800.0,3,3.0,Patel Nagar West,24000000,13333.0
200,1500.0,3,3.0,Patel Nagar West,12500000,8333.0
201,1100.0,2,2.0,Safdarjung Enclave,16300000,14818.0
202,2035.0,4,4.0,Safdarjung Enclave,65000000,14818.0
203,1550.0,3,3.0,Safdarjung Enclave,38000000,14818.0
204,700.0,2,2.0,Safdarjung Enclave,15000000,14818.0
205,1600.0,3,3.0,Safdarjung Enclave,22500000,14818.0
206,4000.0,4,4.0,Safdarjung Enclave,72500000,14818.0
207,5500.0,6,7.0,Safdarjung Enclave,160000000,14818.0
208,972.0,2,2.0,Safdarjung Enclave,17000000,14818.0
209,4150.0,4,4.0,Safdarjung Enclave,82500000,14818.0
210,2250.0,4,5.0,Safdarjung Enclave,55000000,14818.0
211,1650.0,3,3.0,Safdarjung Enclave,35000000,14818.0
212,1700.0,4,5.0,Safdarjung Enclave,52500000,14818.0
213,2250.0,4,4.0,Safdarjung Enclave,80000000,14818.0
214,4200.0,4,5.0,Safdarjung Enclave,74000000,14818.0
215,1700.0,4,3.0,Saket,29500000,21071.0
217,2100.0,3,4.0,Saket,25000000,14705.0
219,1500.0,3,3.0,Saket,27000000,18000.0
220,2700.0,4,4.0,Saket,43500000,18000.0
221,1700.0,3,3.0,Saket,30000000,17647.0
222,2050.0,4,4.0,Saket,52100000,17647.0
223,1800.0,3,3.0,Saket,32500000,18055.0
224,1500.0,3,2.0,Saket,20500000,18055.0
226,1500.0,3,3.0,Saket,30000000,12500.0
232,1300.0,2,2.0,Sheikh Sarai Phase 1,16000000,12307.0
234,900.0,2,2.0,Sheikh Sarai Phase 1,5500000,12307.0
235,850.0,2,2.0,Sheikh Sarai Phase 1,13500000,15882.0
236,1650.0,3,3.0,Sheikh Sarai Phase 1,22500000,15882.0
237,1100.0,2,2.0,Sheikh Sarai Phase 1,12500000,11363.0
238,1400.0,3,2.0,Sheikh Sarai Phase 1,19000000,13571.0
239,1300.0,2,2.0,Sheikh Sarai Phase 1,15500000,11923.0
240,1100.0,2,2.0,Sheikh Sarai Phase 1,13500000,12272.0
241,1600.0,3,3.0,Sheikh Sarai Phase 1,21000000,13125.0
242,2210.0,4,3.0,"Sukhdev Vihar, Okhla",41000000,6667.0
243,1000.0,2,2.0,"Sukhdev Vihar, Okhla",11700000,16917.0
244,750.0,3,2.0,"Sukhdev Vihar, Okhla",13500000,16917.0
245,1500.0,3,2.0,"Sukhdev Vihar, Okhla",16000000,19841.0
246,2907.0,4,4.0,"Sukhdev Vihar, Okhla",30000000,10320.0
247,2210.0,4,3.0,"Sukhdev Vihar, Okhla",41000000,10320.0
248,810.0,2,2.0,"Sukhdev Vihar, Okhla",14500000,5556.0
249,3150.0,4,5.0,"Sukhdev Vihar, Okhla",61500000,5556.0
250,2000.0,4,4.0,"Sukhdev Vihar, Okhla",27500000,5556.0
251,1775.0,3,3.0,"The Amaryllis, Karol Bagh",25500000,14366.0
252,1135.0,3,3.0,"The Amaryllis, Karol Bagh",25000000,14366.0
253,1252.0,2,2.0,"The Amaryllis, Karol Bagh",18500000,14776.0
254,2000.0,4,4.0,"The Amaryllis, Karol Bagh",39700000,14776.0
255,1017.0,3,3.0,"The Amaryllis, Karol Bagh",22000000,14776.0
256,1775.0,3,3.0,"The Amaryllis, Karol Bagh",25500000,14366.0
257,987.0,2,2.0,"The Amaryllis, Karol Bagh",17000000,14366.0
258,1912.0,3,3.0,"The Amaryllis, Karol Bagh",27500000,14382.0
259,5236.0,5,7.0,"The Amaryllis, Karol Bagh",73700000,14092.0
260,2805.0,4,4.0,"The Amaryllis, Karol Bagh",52300000,14092.0
261,1775.0,3,3.0,"The Amaryllis, Karol Bagh",25500000,14366.0
262,1501.0,3,2.0,"The Amaryllis, Karol Bagh",20000000,13324.0
263,1135.0,3,3.0,"The Amaryllis, Karol Bagh",24500000,13324.0
264,1200.0,3,2.0,"The Amaryllis, Karol Bagh",20900000,13324.0
265,2200.0,3,3.0,"The Amaryllis, Karol Bagh",43100000,13324.0
267,540.0,2,1.0,"Yamuna Vihar, Shahdara",2700000,5000.0
268,747.0,2,2.0,"Yamuna Vihar, Shahdara",6500000,8701.0
269,720.0,2,1.0,"Yamuna Vihar, Shahdara",4000000,5556.0
270,1125.0,2,2.0,"Yamuna Vihar, Shahdara",5000000,4444.0
271,713.0,2,2.0,"Yamuna Vihar, Shahdara",6000000,4444.0
272,360.0,1,1.0,"Yamuna Vihar, Shahdara",2500000,6944.0
273,900.0,2,2.0,"Yamuna Vihar, Shahdara",6500000,7222.0
274,713.0,3,1.0,"Yamuna Vihar, Shahdara",8000000,11220.0
